Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,10,5246,4267,2636,840,571,2,408,1080,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Controllers,10,5246,4267,2636,840,571,2,408,1080,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Controllers\ApiControllers,6,4406,3591,2254,736,474,1,341,876,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Controllers\WebControllers,4,840,676,382,104,97,1,67,204,0,0
