File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\MessageDTO.cs,17,16,12,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\NewMessageDTO.cs,14,13,9,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\NewMessageNumberDTO.cs,13,12,8,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectBackDTO.cs,38,30,26,0,1,0,7,20,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectBasicListDTO.cs,23,22,18,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectBasicViewDTO.cs,38,37,31,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectCreateDTO.cs,18,14,10,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectDetailDTO.cs,64,45,39,0,7,0,12,39,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectEditDTO.cs,25,23,19,0,1,0,1,1,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectInfoBackDTO.cs,15,14,10,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectStoryDTO.cs,17,14,10,0,2,0,1,1,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ProjectTitleDTO.cs,12,11,7,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\QuestionDTO.cs,15,14,10,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ReplyDTO.cs,13,12,8,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ReportProjectDTO.cs,24,22,18,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\ReportUserDTO.cs,22,21,17,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\RewardPkgDTO.cs,27,19,15,0,1,0,7,20,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\SlideDTO.cs,33,32,18,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\TimeLineDTO.cs,16,15,11,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UpdateLogDTO.cs,15,14,10,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserBackedInfoDTO.cs,18,16,12,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserBackInforDTO.cs,16,15,11,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserBasicInfoDTO.cs,18,17,13,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserEditInfoDTO.cs,24,23,19,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserLoginDTO.cs,16,15,11,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserNameDTO.cs,13,12,8,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserPublicInfoDTO.cs,24,22,18,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\UserRegisterDTO.cs,28,21,11,0,1,0,6,20,0,0
