Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,66,1915,1432,1058,0,212,0,271,843,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models,66,1915,1432,1058,0,212,0,271,843,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs,49,1110,987,755,0,86,0,37,104,0,0
