Word,Count
(x.Username,1
\name="\idList"\>list\,1
aren't,1
UserEditInfoDTO,1
projectReturn.ProjectTitle,1
and,1
x.Email,1
ExpireDate,1
\backing.User.Username,\,1
loginType),1
24/10/2015-,1
listBacker.Add(backer);,1
throw,1
backed.BackingDetail.PledgedAmount;,1
\backing.User.Email,\,1
model,1
<returns>emptyProject</returns>,1
RewardPkgDTO,1
allBacked),1
listProjectBacked,1
\x.Creator.Username.Equals(UserName,\,1
B,1
\name="\username"\></param>\,1
id,1
\backing.BackingDetail.Description,\,1
\"\draft"\)\,1
StarredProject,1
userList),1
DDLDataContext,1
with,1
C,1
(backing.Backing.User.Username,1
BackedDate,1
function,1
\"\S"\\,1
CommonUtils.ConvertDateTimeFromUtc(backer.Date.GetValueOrDefault());,1
Initial,1
commentsQuery.Where(x,1
allBacked,1
Id</param>,1
\!x.IsHide),\,1
remove,1
chart,1
comments,1
\name="\rewardPkgID"\></param>\,1
EstimatedDelivery,1
ShowHideComment,1
BackerName,1
BackingInfo,1
link,1
DDLConstants.ProjectStatus.PENDING;,1
x.Username,1
only,1
}),1
StatusActive,1
AdminUserDTO,1
x.Date.HasValue),1
commentsList,1
TopCreator,1
<returns>pendingList</returns>,1
database,1
NumberComment,1
db.DDL_Users.Where(x,1
\name="\submitProject"\></param>\,1
BackedProjectHistory,1
rewardDetail),1
\created.Status,\,1
TrungVn,1
projectReturn.PledgedAmount,1
get;,1
\user.UserInfo.FullName,\,1
general,1
DDL_User,1
\name="\userName"\>userName</param>\,1
backed.Project.Status,1
\x.Date.Value.Day,\,1
DDLConstants.ProjectStatus.SUSPENDED),1
\created.FundingGoal,\,1
the,1
decimal();,1
CommonUtils.ConvertDateTimeFromUtc(userReturn.CreatedDate.GetValueOrDefault());,1
linq,1
\created.ProjectCode,\,1
fund,1
List<Backing>,1
verify,1
FundingGoals,1
Submit,1
userList,1
\user.IsVerify,\,1
Backers,1
loginType);,1
DDLConstants.ProjectStatus.REJECTED;,1
A,1
<returns>projectBackDTO</returns>,1
\name="\timelineID"\></param>\,1
listProjectCreated,1
backingData.IsPublic;,1
db.Backings.Where(x,1
FullName,1
NotPermissionException();,1
<returns>CommentDTO</returns>,1
recored,1
\name="\point"\></param>\,1
.GroupBy(x,1
backing.BackingID,1
value</returns>,1
user</param>,1
<returns>List<AdminDashboardInfoDTO></returns>,1
unread,1
content,1
<returns>listRecentUser</returns>,1
<returns>newQuestionDTO</returns>,1
(Backing,1
\user.Email,\,1
Facebook,1
1,1
\user.Username,\,1
Insert,1
month,1
created.ProjectCode).ToList();,1
Success,1
permission,1
DDLConstants.ProjectStatus.APPROVED),1
x.Amount),1
private,1
DDLDataContext();,1
\name="\backingData"\></param>\,1
Database,1
this,1
days,1
Messages,1
\backing.BackingDetail.RewardPkg.Description,\,1
\name="\ProjectID"\>int</param>\,1
set,1
<returns>projectBasicDTO</returns>,1
22/10/2015,1
\backing.Project.Title,\,1
insert,1
class,1
order,1
active,1
\name="\code"\></param>\,1
List,1
\reward.BackingDetails.Count(),\,1
\"\suscced"\;\,1
DDLDataContextRepository,1
listBackerLinQ),1
or,1
project.Comments.Count,1
Month,1
endTrungVN,1
\CommonUtils.ConvertDateTimeFromUtc(backing.BackedDate),\,1
backed.Project.Title;,1
character,1
\backing.User.UserInfo.FullName,\,1
