File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\BaoKimPayment.cs,158,96,69,12,19,2,43,349,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\BaseApiController.cs,25,23,15,2,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\BaseController.cs,41,38,20,3,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\CommonUtils.cs,101,86,54,14,13,0,2,9,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\CustomException.cs,115,95,31,0,20,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\DDLConstants.cs,97,82,58,0,11,1,4,17,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\MailHelper.cs,77,71,40,0,6,1,0,4,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Helper\SingletonBase.cs,50,40,23,4,10,0,0,0,0,0
