File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_CreateProject.cshtml,102,100,2,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_EditProject.cshtml,1456,1448,65,7,8,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_ListBacker.cshtml,113,110,30,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_PaymentProject.cshtml,167,163,8,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_ProjectDetail.cshtml,471,466,93,0,5,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Project\_StarredProject.cshtml,88,77,26,0,10,0,1,1,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Shared\Error.cshtml,17,16,2,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Shared\_AdminLayout.cshtml,418,383,88,0,31,5,4,24,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Shared\_Error.cshtml,7,7,0,0,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Shared\_Layout.cshtml,415,359,138,1,47,3,9,30,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\Shared\_NotFound.cshtml,8,7,0,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\User\_EditPassword.cshtml,108,102,7,0,6,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\User\_EditProfile.cshtml,151,145,6,0,6,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\User\_PublicProfile.cshtml,109,108,26,0,1,0,0,0,0,0
