File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminUserListController.js,78,68,39,5,5,0,5,23,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminUserProfileController.js,82,62,41,8,10,0,10,26,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\angular-chart.js,361,292,203,57,44,8,25,131,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\angular-morris-chart.min.js,25,1,33,0,0,0,24,206,24,206
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\chartangular.js,84,73,35,12,11,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\elastic.js,222,154,84,12,39,1,29,129,5,12
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\format.js,20,16,13,4,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\highcharts-ng.js,499,420,339,78,58,4,21,159,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\loading-bar.js,323,200,147,30,53,6,70,389,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\ngAutoComplete.js,27,18,15,1,3,0,6,22,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\ngEnter.js,14,13,12,2,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\ngFileDirty.js,12,12,7,1,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\ngFileSelect.js,13,12,9,1,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\passwordMatch.js,25,18,13,2,4,0,3,19,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\select.js,3851,2820,2237,520,600,97,431,3550,0,1
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\showTabDirective.js,12,12,10,1,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\SweetAlert.min.js,1,1,15,0,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\timelinr.js,21,11,10,1,1,0,9,22,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\text-angular\textAngular-rangy.min.js,2,2,447,0,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\text-angular\textAngular-sanitize.min.js,6,2,36,0,0,2,4,29,0,1
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\text-angular\textAngular.min.js,10,3,469,0,0,1,7,21,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\CategoryService.js,38,27,26,8,8,0,3,15,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\CommonService.js,87,70,54,13,14,1,3,11,0,0
