Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,13,1014,618,276,0,88,0,308,1763,6,12
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Migrations,13,1014,618,276,0,88,0,308,1763,6,12
