Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,35,27851,25658,20588,0,1470,26,723,4202,118,583
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Content,35,27851,25658,20588,0,1470,26,723,4202,118,583
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Content\Libraries,1,191,156,119,0,9,2,26,68,22,43
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Content\admin,2,2466,1834,1141,0,409,0,223,2184,19,193
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Content\data-tables,4,651,575,483,0,21,1,55,149,25,89
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Content\spinner,1,53,52,42,0,0,0,1,9,0,0
